speaker,item,duration,V1,stress
PL03,bywalec,0.07,y,unstressed
PL03,cumowac,0.04,u,unstressed
PL03,rzepa,0.0461,e,stressed
PL03,nieborak,0.05,e,unstressed
PL03,babo,0.0967,a,stressed
PL03,kumaty,0.0297,u,unstressed
PL03,papa,0.0716,a,stressed
PL03,mimoza,0.06,i,unstressed
PL03,zima,0.05,i,stressed
PL03,popa,0.0607,o,stressed
PL03,sumo,0.06,u,stressed
PL03,zimami,0.05,i,unstressed
PL03,bywa,0.07,y,stressed
PL03,papaja,0.0497,a,unstressed
PL03,babochlop,0.0655,a,unstressed
PL03,mimo,0.0801,i,stressed
PL03,popada,0.0534,o,unstressed
PL03,zywotnie,0.0612,y,unstressed
PL03,rzepaku,0.048,e,unstressed
PL03,zywo,0.0534,y,stressed
PL03,kuma,0.051,u,stressed
PL03,nowo,0.0873,o,stressed
PL03,niebo,0.0672,e,stressed
PL03,bywalec,0.06,y,unstressed
PL03,cumowac,0.0384,u,unstressed
PL03,rzepa,0.051,e,stressed
PL03,nieborak,0.04,e,unstressed
PL03,babo,0.0801,a,stressed
PL03,kumaty,0.0425,u,unstressed
PL03,papa,0.0607,a,stressed
PL03,zima,0.04,i,stressed
PL03,sumo,0.0313,u,stressed
PL03,babochlop,0.0631,a,unstressed
PL03,mimo,0.0761,i,stressed
PL03,popada,0.0473,o,unstressed
PL03,rzepaku,0.0383,e,unstressed
PL03,nowo,0.0801,o,stressed
PL03,niebo,0.05,e,stressed
PL03,bywalec,0.0616,y,unstressed
PL04,popa,0.0922,o,stressed
PL04,mimo,0.1182,i,stressed
PL04,babo,0.1672,a,stressed
PL04,kumaty,0.06,u,unstressed
PL04,babochlop,0.0813,a,unstressed
PL04,zywotnie,0.06,y,unstressed
PL04,bywa,0.1669,y,stressed
PL04,rzepaku,0.0752,e,unstressed
PL04,papaja,0.0789,a,unstressed
PL04,nowo,0.1779,o,stressed
PL04,sumo,0.1177,u,stressed
PL04,cumowac,0.0449,u,unstressed
PL04,rzepa,0.1031,e,stressed
PL04,mimoza,0.13,i,unstressed
PL04,papa,0.1395,a,stressed
PL04,popada,0.0837,o,unstressed
PL04,bywalec,0.11,y,unstressed
PL04,kuma,0.1058,u,stressed
PL04,zimami,0.0607,i,unstressed
PL04,niebo,0.06,e,stressed
PL04,nieborak,0.05,e,unstressed
PL04,zima,0.1201,i,stressed
PL04,zywo,0.1395,y,stressed
PL04,popa,0.1092,o,stressed
PL04,mimo,0.1238,i,stressed
PL04,babo,0.1626,a,stressed
PL04,kumaty,0.0497,u,unstressed
PL04,babochlop,0.1,a,unstressed
PL04,zywotnie,0.0643,y,unstressed
PL04,bywa,0.182,y,stressed
PL04,rzepaku,0.0934,e,unstressed
PL04,papaja,0.0679,a,unstressed
PL04,nowo,0.17,o,stressed
PL04,sumo,0.1124,u,stressed
PL04,cumowac,0.0474,u,unstressed
PL04,rzepa,0.1153,e,stressed
PL04,mimoza,0.0971,i,unstressed
PL04,papa,0.0837,a,stressed
PL04,popada,0.0664,o,unstressed
PL04,bywalec,0.0917,y,unstressed
PL04,kuma,0.1431,u,stressed
PL04,zimami,0.07,i,unstressed
PL04,niebo,0.0584,e,stressed
PL04,nieborak,0.06,e,unstressed
PL04,zima,0.1088,i,stressed
PL04,zywo,0.1359,y,stressed
PL04,popa,0.0704,o,stressed
PL04,mimo,0.0752,i,stressed
PL04,babo,0.13,a,stressed
PL04,kumaty,0.0364,u,unstressed
PL04,babochlop,0.0654,a,unstressed
PL04,zywotnie,0.0677,y,unstressed
PL04,bywa,0.1007,y,stressed
PL04,rzepaku,0.0764,e,unstressed
PL04,papaja,0.0558,a,unstressed
PL04,nowo,0.11,o,stressed
PL04,sumo,0.0921,u,stressed
PL04,cumowac,0.0388,u,unstressed
PL04,rzepa,0.0958,e,stressed
PL04,mimoza,0.08,i,unstressed
PL04,popada,0.0497,o,unstressed
PL04,bywalec,0.0704,y,unstressed
PL04,kuma,0.0627,u,stressed
PL04,zimami,0.04,i,unstressed
PL04,niebo,0.05,e,stressed
PL04,zima,0.0612,i,stressed
PL04,zywo,0.0983,y,stressed
PL04,popa,0.0682,o,stressed
PL04,mimo,0.0764,i,stressed
PL04,babo,0.0971,a,stressed
PL04,kumaty,0.0346,u,unstressed
PL04,babochlop,0.07,a,unstressed
PL04,bywa,0.0971,y,stressed
PL04,rzepaku,0.0704,e,unstressed
PL04,papaja,0.0522,a,unstressed
PL04,nowo,0.09,o,stressed
PL04,sumo,0.0873,u,stressed
PL04,cumowac,0.03,u,unstressed
PL04,rzepa,0.0881,e,stressed
PL04,mimoza,0.0764,i,unstressed
PL04,papa,0.0886,a,stressed
PL04,popada,0.0485,o,unstressed
PL04,bywalec,0.0789,y,unstressed
PL04,kuma,0.0534,u,stressed
PL04,zimami,0.053,i,unstressed
PL04,nieborak,0.04,e,unstressed
PL04,zima,0.0635,i,stressed
PL04,zywo,0.13,y,stressed
PL04,popa,0.0437,o,stressed
PL04,mimo,0.06,i,stressed
PL04,babo,0.05,a,stressed
PL04,kumaty,0.0267,u,unstressed
PL04,babochlop,0.05,a,unstressed
PL04,zywotnie,0.051,y,unstressed
PL04,bywa,0.03,y,stressed
PL04,rzepaku,0.0364,e,unstressed
PL04,papaja,0.0352,a,unstressed
PL04,nowo,0.04,o,stressed
PL04,sumo,0.0267,u,stressed
PL04,cumowac,0.0239,u,unstressed
PL04,rzepa,0.0388,e,stressed
PL04,mimoza,0.0454,i,unstressed
PL04,papa,0.0347,a,stressed
PL04,popada,0.0309,o,unstressed
PL04,bywalec,0.0522,y,unstressed
PL04,kuma,0.0197,u,stressed
PL04,zimami,0.03,i,unstressed
PL04,niebo,0.03,e,stressed
PL04,nieborak,0.0224,e,unstressed
PL04,zima,0.0334,i,stressed
PL04,zywo,0.04,y,stressed
PL04,popa,0.0261,o,stressed
PL04,mimo,0.0297,i,stressed
PL04,babo,0.051,a,stressed
PL04,kumaty,0.0254,u,unstressed
PL04,babochlop,0.03,a,unstressed
PL04,zywotnie,0.0275,y,unstressed
PL04,bywa,0.0406,y,stressed
PL04,rzepaku,0.0285,e,unstressed
PL04,papaja,0.0336,a,unstressed
PL04,nowo,0.03,o,stressed
PL04,sumo,0.0368,u,stressed
PL04,cumowac,0.0231,u,unstressed
PL04,rzepa,0.0327,e,stressed
PL04,mimoza,0.0319,i,unstressed
PL04,papa,0.0423,a,stressed
PL04,popada,0.0261,o,unstressed
PL04,bywalec,0.03,y,unstressed
PL04,kuma,0.0222,u,stressed
PL04,zimami,0.0392,i,unstressed
PL04,nieborak,0.0273,e,unstressed
PL04,zima,0.0425,i,stressed
PL05,nowo,0.1,o,stressed
PL05,zywo,0.12,y,stressed
PL05,zywotnie,0.0498,y,unstressed
PL05,sumo,0.067,u,stressed
PL05,nieborak,0.0599,e,unstressed
PL05,babo,0.11,a,stressed
PL05,papa,0.0837,a,stressed
PL05,bywalec,0.05,y,unstressed
PL05,mimoza,0.0511,i,unstressed
PL05,zima,0.06,i,stressed
PL05,rzepa,0.059,e,stressed
PL05,cumowac,0.0389,u,unstressed
PL05,kuma,0.0696,u,stressed
PL05,bywa,0.1,y,stressed
PL05,rzepaku,0.0596,e,unstressed
PL05,niebo,0.1117,e,stressed
PL05,popa,0.0642,o,stressed
PL05,babochlop,0.05,a,unstressed
PL05,zimami,0.0482,i,unstressed
PL05,mimo,0.08,i,stressed
PL05,kumaty,0.0445,u,unstressed
PL05,papaja,0.0444,a,unstressed
PL05,popada,0.0576,o,unstressed
PL05,nowo,0.12,o,stressed
PL05,zywo,0.0995,y,stressed
PL05,zywotnie,0.057,y,unstressed
PL05,sumo,0.07,u,stressed
PL05,nieborak,0.0639,e,unstressed
PL05,babo,0.12,a,stressed
PL05,papa,0.0817,a,stressed
PL05,bywalec,0.06,y,unstressed
PL05,mimoza,0.07,i,unstressed
PL05,zima,0.07,i,stressed
PL05,rzepa,0.0935,e,stressed
PL05,cumowac,0.04,u,unstressed
PL05,kuma,0.04,u,stressed
PL05,rzepaku,0.0496,e,unstressed
PL05,niebo,0.07,e,stressed
PL05,popa,0.0765,o,stressed
PL05,babochlop,0.06,a,unstressed
PL05,zimami,0.04,i,unstressed
PL05,kumaty,0.03,u,unstressed
PL05,papaja,0.06,a,unstressed
PL05,popada,0.05,o,unstressed
PL05,zywo,0.09,y,stressed
PL05,zywotnie,0.04,y,unstressed
PL05,nieborak,0.0583,e,unstressed
PL05,papa,0.0755,a,stressed
PL05,mimoza,0.03,i,unstressed
PL05,zima,0.04,i,stressed
PL05,rzepa,0.0787,e,stressed
PL05,bywa,0.11,y,stressed
PL05,rzepaku,0.0435,e,unstressed
PL05,popa,0.0753,o,stressed
PL05,babochlop,0.04,a,unstressed
PL05,papaja,0.0588,a,unstressed
PL05,nowo,0.08,o,stressed
PL05,zywo,0.08,y,stressed
PL05,zywotnie,0.06,y,unstressed
PL05,sumo,0.08,u,stressed
PL05,nieborak,0.0727,e,unstressed
PL05,babo,0.1,a,stressed
PL05,papa,0.0958,a,stressed
PL05,mimoza,0.05,i,unstressed
PL05,rzepa,0.0716,e,stressed
PL05,cumowac,0.03,u,unstressed
PL05,kuma,0.05,u,stressed
PL05,rzepaku,0.09,e,unstressed
PL05,niebo,0.08,e,stressed
PL05,popa,0.078,o,stressed
PL05,mimo,0.09,i,stressed
PL05,kumaty,0.0509,u,unstressed
PL05,papaja,0.0618,a,unstressed
PL05,popada,0.06,o,unstressed
PL05,nowo,0.0642,o,stressed
PL05,zywo,0.06,y,stressed
PL05,nieborak,0.054,e,unstressed
PL05,babo,0.07,a,stressed
PL05,papa,0.08,a,stressed
PL05,mimoza,0.0517,i,unstressed
PL05,rzepa,0.0459,e,stressed
PL05,bywa,0.07,y,stressed
PL05,rzepaku,0.0401,e,unstressed
PL05,niebo,0.0675,e,stressed
PL05,popa,0.0617,o,stressed
PL05,mimo,0.05,i,stressed
PL05,papaja,0.05,a,unstressed
PL05,popada,0.04,o,unstressed
PL05,nowo,0.06,o,stressed
PL05,zywo,0.07,y,stressed
PL05,zywotnie,0.03,y,unstressed
PL05,sumo,0.06,u,stressed
PL05,nieborak,0.04,e,unstressed
PL05,babo,0.08,a,stressed
PL05,mimoza,0.0531,i,unstressed
PL05,zima,0.051,i,stressed
PL05,rzepa,0.057,e,stressed
PL05,kuma,0.03,u,stressed
PL05,bywa,0.06,y,stressed
PL05,rzepaku,0.0498,e,unstressed
PL05,niebo,0.0601,e,stressed
PL05,popa,0.065,o,stressed
PL05,zimami,0.0364,i,unstressed
PL05,mimo,0.0521,i,stressed
PL06,mimoza,0.06,i,unstressed
PL06,popa,0.0994,o,stressed
PL06,niebo,0.1031,e,stressed
PL06,sumo,0.09,u,stressed
PL06,zimami,0.05,i,unstressed
PL06,zywotnie,0.07,y,unstressed
PL06,zima,0.0757,i,stressed
PL06,babochlop,0.1402,a,unstressed
PL06,mimo,0.1,i,stressed
PL06,nieborak,0.0455,e,unstressed
PL06,papaja,0.067,a,unstressed
PL06,zywo,0.136,y,stressed
PL06,kuma,0.08,u,stressed
PL06,nowo,0.1447,o,stressed
PL06,rzepaku,0.0675,e,unstressed
PL06,bywalec,0.1,y,unstressed
PL06,rzepa,0.1208,e,stressed
PL06,kumaty,0.05,u,unstressed
PL06,cumowac,0.05,u,unstressed
PL06,bywa,0.123,y,stressed
PL06,babo,0.1384,a,stressed
PL06,papa,0.1181,a,stressed
PL06,popada,0.0635,o,unstressed
PL06,popa,0.117,o,stressed
PL06,niebo,0.084,e,stressed
PL06,sumo,0.1,u,stressed
PL06,zimami,0.06,i,unstressed
PL06,zywotnie,0.08,y,unstressed
PL06,zima,0.11,i,stressed
PL06,babochlop,0.0897,a,unstressed
PL06,nieborak,0.0591,e,unstressed
PL06,papaja,0.0691,a,unstressed
PL06,zywo,0.12,y,stressed
PL06,kuma,0.09,u,stressed
PL06,nowo,0.15,o,stressed
PL06,rzepaku,0.0624,e,unstressed
PL06,bywalec,0.08,y,unstressed
PL06,rzepa,0.1124,e,stressed
PL06,kumaty,0.07,u,unstressed
PL06,cumowac,0.0662,u,unstressed
PL06,bywa,0.15,y,stressed
PL06,babo,0.15,a,stressed
PL06,papa,0.1167,a,stressed
PL06,popada,0.0608,o,unstressed
PL06,popa,0.0596,o,stressed
PL06,niebo,0.06,e,stressed
PL06,sumo,0.0938,u,stressed
PL06,zimami,0.0382,i,unstressed
PL06,zywotnie,0.04,y,unstressed
PL06,zima,0.05,i,stressed
PL06,babochlop,0.0646,a,unstressed
PL06,mimo,0.08,i,stressed
PL06,nieborak,0.0528,e,unstressed
PL06,papaja,0.058,a,unstressed
PL06,zywo,0.07,y,stressed
PL06,kuma,0.04,u,stressed
PL06,nowo,0.07,o,stressed
PL06,rzepaku,0.0484,e,unstressed
PL06,bywalec,0.0706,y,unstressed
PL06,rzepa,0.07,e,stressed
PL06,kumaty,0.0509,u,unstressed
PL06,cumowac,0.0545,u,unstressed
PL06,bywa,0.0786,y,stressed
PL06,babo,0.0946,a,stressed
PL06,papa,0.0861,a,stressed
PL06,popada,0.0633,o,unstressed
PL06,mimoza,0.05,i,unstressed
PL06,popa,0.0698,o,stressed
PL06,niebo,0.05,e,stressed
PL06,sumo,0.07,u,stressed
PL06,zimami,0.04,i,unstressed
PL06,zywotnie,0.0591,y,unstressed
PL06,zima,0.06,i,stressed
PL06,babochlop,0.06,a,unstressed
PL06,nieborak,0.03,e,unstressed
PL06,papaja,0.0544,a,unstressed
PL06,zywo,0.0811,y,stressed
PL06,nowo,0.05,o,stressed
PL06,rzepaku,0.0656,e,unstressed
PL06,bywalec,0.07,y,unstressed
PL06,rzepa,0.0733,e,stressed
PL06,kumaty,0.0485,u,unstressed
PL06,cumowac,0.03,u,unstressed
PL06,bywa,0.0704,y,stressed
PL06,babo,0.1,a,stressed
PL06,papa,0.0777,a,stressed
PL06,popada,0.04,o,unstressed
PL06,mimoza,0.0469,i,unstressed
PL06,popa,0.0638,o,stressed
PL06,niebo,0.04,e,stressed
PL06,sumo,0.0304,u,stressed
PL06,zimami,0.0355,i,unstressed
PL06,zywotnie,0.0473,y,unstressed
PL06,zima,0.0343,i,stressed
PL06,babochlop,0.0501,a,unstressed
